id,created_at,username,message,user_id,unix_time_seconds,position
14673,2024-04-10 15:54:48.512463+00,TIH_T3,esses emotes,5507001051,1712764469,"[-0.132001440743325,-0.366284108981226,0.231236062095948]"
14675,2024-04-10 15:54:53.625668+00,papa_papa1GTR,if I buy agility so would they add,5428644368,1712764477,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14676,2024-04-10 15:54:53.625668+00,papa_papa1GTR,just hit,5428644368,1712764483,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14677,2024-04-10 15:54:53.625668+00,papa_papa1GTR,som3 more,5428644368,1712764488,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14681,2024-04-10 15:55:12.302936+00,tomas_gonzalez431,Me estaba lavando los diente,4864189036,1712764492,"[-0.219844184787544,-0.384554745487692,0.331052518345865]"
14682,2024-04-10 15:55:12.302936+00,tomas_gonzalez431,no,4864189036,1712764500,"[-0.219844184787544,-0.384554745487692,0.331052518345865]"
14683,2024-04-10 15:55:12.302936+00,tomas_gonzalez431,bueno uka,4864189036,1712764506,"[-0.219844184787544,-0.384554745487692,0.331052518345865]"
14684,2024-04-10 15:55:12.302936+00,DidiLovesNewJeans,"ala que ",5514583872,1712764511,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14690,2024-04-10 15:55:29.224499+00,mersinruzgar,I DDI IT,1592731679,1712764512,"[-0.222146615603704,-0.383934121905163,0.323664812194243]"
14691,2024-04-10 15:55:29.224499+00,brigadeirodoce_2,"olha tenho super poderes ",5359171169,1712764516,"[-0.132964848046692,-0.366495560378814,0.232213055767275]"
14692,2024-04-10 15:55:29.224499+00,mersinruzgar,"I GOT YA,A CAPE",1592731679,1712764522,"[-0.223441732937795,-0.383934121905163,0.329363714999712]"
14693,2024-04-10 15:55:29.224499+00,TIH_T3,SSJ?,5507001051,1712764527,"[-0.132069024075988,-0.366284108981226,0.231097683027169]"
14696,2024-04-10 15:55:34.744934+00,khuzaimawaqas123,YES 1.61K!!!!!,5628192285,1712764520,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14697,2024-04-10 15:55:34.744934+00,papa_papa1GTR,ok I buy,5428644368,1712764528,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14699,2024-04-10 15:55:52.909845+00,DidiLovesNewJeans,"ala ",5514583872,1712764537,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14702,2024-04-10 15:56:06.93939+00,mcreamy7667,same im also using auto clicker,4044994786,1712764565,"[-0.222704293035813,-0.384144200241727,0.330517384530071]"
14704,2024-04-10 15:56:13.154866+00,tomas_gonzalez431,pero tengo una que es re hermosa,4864189036,1712764558,"[-0.219844184787544,-0.384554745487692,0.331052518345865]"
14705,2024-04-10 15:56:13.154866+00,DidiLovesNewJeans,"mi mejor amiga les dejo a todos mi secreto ",5514583872,1712764567,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14711,2024-04-10 15:56:30.14162+00,TIH_T3,vou voltar pra ai,5507001051,1712764583,"[-0.0683053709210068,-0.381460080481972,-0.0527941306254155]"
14713,2024-04-10 15:56:36.218566+00,khuzaimawaqas123,1.66k,5628192285,1712764578,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14714,2024-04-10 15:56:36.218566+00,papa_papa1GTR,gg,5428644368,1712764585,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14715,2024-04-10 15:56:36.218566+00,khuzaimawaqas123,ye bro,5628192285,1712764594,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14717,2024-04-10 15:56:52.794354+00,koiyt_14,"can i be your friend ",5640568353,1712764597,"[-0.222192590659937,-0.384140081058657,0.330600786428843]"
14720,2024-04-10 15:57:17.268503+00,khuzaimawaqas123,ij,5628192285,1712764617,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14721,2024-04-10 15:57:17.268503+00,khuzaimawaqas123,ok,5628192285,1712764619,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14722,2024-04-10 15:57:17.268503+00,papa_papa1GTR,I'm going to play sorcerer battlegrounds,5428644368,1712764627,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14723,2024-04-10 15:57:17.268503+00,khuzaimawaqas123,oh,5628192285,1712764634,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14724,2024-04-10 15:57:17.268503+00,papa_papa1GTR,bye,5428644368,1712764635,"[-0.0699376003549274,-0.381474497622716,-0.0484940659549024]"
14726,2024-04-10 15:57:37.725854+00,khuzaimawaqas123,wanna play,5628192285,1712764637,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14727,2024-04-10 15:57:37.725854+00,PhantomX1084,who is here for the free ugc,5466445187,1712764641,"[-0.0670819531238327,-0.381471408235414,-0.0524955007654252]"
14728,2024-04-10 15:57:37.725854+00,khuzaimawaqas123,the strongest battleground,5628192285,1712764645,"[-0.0693595861440375,-0.381562459344521,-0.0489847435800112]"
14729,2024-04-10 15:57:37.725854+00,PhantomX1084,cuz I am,5466445187,1712764653,"[-0.0670819531238327,-0.381471408235414,-0.0524955007654252]"
14731,2024-04-10 15:57:46.263336+00,TAZZZ1025,i m 450,5653911328,1712764665,"[-0.22370700901226,-0.383383524434822,0.323236568975243]"
14733,2024-04-10 15:58:01.049902+00,brigadeirodoce_2,"eles são uns dos mais fortes ",5359171169,1712764675,"[-0.162971402365647,-0.384145573302751,0.25811753659386]"
14735,2024-04-10 15:58:18.464438+00,xXJard_EvadeXx2,:V,5753499078,1712764694,"[-0.0783219923405556,-0.384286912771836,-0.06870890435266]"
14737,2024-04-10 15:58:21.416137+00,TIH_T3,😰😰😰,5507001051,1712764688,"[-0.15856262434816,-0.383934808435675,0.256663790435879]"
14739,2024-04-10 15:58:41.689197+00,brigadeirodoce_2,"vc tá ganhando dinheiro ",5359171169,1712764714,"[-0.134467083009113,-0.366495560378814,0.232155525477918]"
14741,2024-04-10 15:59:02.087762+00,TIH_T3,ganhei 8 moedaz,5507001051,1712764725,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14742,2024-04-10 15:59:02.087762+00,TIH_T3,"moedas""",5507001051,1712764731,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14745,2024-04-10 15:59:22.338901+00,brigadeirodoce_2,eu ganho 25,5359171169,1712764746,"[-0.134800172291523,-0.366495560378814,0.23181170540543]"
14748,2024-04-10 15:59:42.719601+00,TIH_T3,😶,5507001051,1712764763,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14751,2024-04-10 15:59:59.472306+00,Kawere90,andrew,4602701754,1712764796,"[-0.0689102949069982,-0.381125396857544,-0.0524670707176614]"
14753,2024-04-10 16:00:15.166067+00,tomas_gonzalez431,donde vaz a colegio o a escuela,4864189036,1712764810,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14755,2024-04-10 16:00:23.317995+00,TIH_T3,?,5507001051,1712764814,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14756,2024-04-10 16:00:23.317995+00,TIH_T3,morder?,5507001051,1712764820,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14758,2024-04-10 16:00:35.546426+00,DidiLovesNewJeans,"es lo mismo ",5514583872,1712764826,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14761,2024-04-10 16:00:52.37942+00,TAZZZ1025,550,5653911328,1712764848,"[-0.22370700901226,-0.383383524434822,0.323236568975243]"
14765,2024-04-10 16:01:16.364964+00,tomas_gonzalez431,colegio para adultos de 13 años o 12,4864189036,1712764861,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14766,2024-04-10 16:01:16.364964+00,tomas_gonzalez431,asta 15,4864189036,1712764870,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14767,2024-04-10 16:01:16.364964+00,DidiLovesNewJeans,"y en qué país vives ",5514583872,1712764875,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14769,2024-04-10 16:01:36.785455+00,tomas_gonzalez431,y escuela asta los 11 o 12,4864189036,1712764884,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14770,2024-04-10 16:01:36.785455+00,tomas_gonzalez431,argentina,4864189036,1712764893,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14773,2024-04-10 16:01:49.325586+00,NisPlayzPoblox,is there a trad,4257238139,1712764908,"[-0.0648373072064751,-0.318127726598835,-0.0142132712718245]"
14775,2024-04-10 16:01:57.169511+00,DidiLovesNewJeans,"yo chile ",5514583872,1712764907,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14776,2024-04-10 16:01:57.169511+00,tomas_gonzalez431,ala,4864189036,1712764916,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14778,2024-04-10 16:02:04.551184+00,brigadeirodoce_2,"da pra comprar um pet ",5359171169,1712764914,"[-0.16343735956057,-0.3876379540155,0.22488083740953]"
14781,2024-04-10 16:02:16.079873+00,mcreamy7667,ok,4044994786,1712764931,"[-0.223238982939806,-0.384144200241727,0.330223946012759]"
14784,2024-04-10 16:02:30.412121+00,NisPlayzPoblox,is there trade,4257238139,1712764931,"[-0.0648373072064751,-0.318127726598835,-0.0142132712718245]"
14788,2024-04-10 16:02:37.447222+00,DidiLovesNewJeans,"el mío es asta ir a al instituto yo asta la universidad ",5514583872,1712764954,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14791,2024-04-10 16:02:50.980388+00,muncijapan1314,no,5307945523,1712764950,"[-0.0649274183166923,-0.318907625260066,-0.0137019612509672]"
14792,2024-04-10 16:02:50.980388+00,NisPlayzPoblox,oh,4257238139,1712764957,"[-0.0648373072064751,-0.318127726598835,-0.0142132712718245]"
14794,2024-04-10 16:03:07.7295+00,tomas_gonzalez431,cuando vas a la universidad tenes que tener 16,4864189036,1712764986,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
14797,2024-04-10 16:03:17.435339+00,Kawere90,request send,4602701754,1712764980,"[-0.0719772047050873,-0.38114461971187,-0.0503150251414173]"
14799,2024-04-10 16:03:30.827976+00,TIH_T3,aumenta o o treino,5507001051,1712764993,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14800,2024-04-10 16:03:30.827976+00,TIH_T3,tipo,5507001051,1712764996,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14801,2024-04-10 16:03:30.827976+00,TIH_T3,tô com +1,5507001051,1712765003,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14802,2024-04-10 16:03:30.827976+00,TIH_T3,ai aumenta tipo...,5507001051,1712765010,"[-0.133613096339581,-0.366284795511738,0.2313839728103]"
14806,2024-04-10 16:03:53.490195+00,tomas_gonzalez431,primero la escuela despues colegio y al ultimo universidad,4864189036,1712765030,"[-0.220000499978737,-0.384554745487692,0.331177791401979]"
17629,2024-04-10 23:46:17.790628+00,GREAT_BACONROBLOX,i can't even kill one,5659168566,1712792773,"[-0.0680587075607129,-0.381460080481972,-0.05244358201964]"
17630,2024-04-10 23:46:20.510794+00,crimisone123crak,como la reclamo,5358139966,1712792761,"[-0.225220048112896,-0.38416205003503,0.324806567167634]"
17631,2024-04-10 23:46:20.510794+00,TheLOCOploXD,ve a hablar con el,1874142127,1712792767,"[-0.224146990300413,-0.383934121905163,0.325123834798881]"
17632,2024-04-10 23:46:23.747381+00,Nivanlava312,What,5385729028,1712792779,"[-0.0664400766863938,-0.381210612457302,-0.050203262341864]"
17633,2024-04-10 23:46:40.751168+00,TheLOCOploXD,listo ya la tene,1874142127,1712792780,"[-0.222489589523204,-0.383934121905163,0.327439003425605]"
17634,2024-04-10 23:46:40.751168+00,crimisone123crak,quieres ser mi amigo,5358139966,1712792782,"[-0.223980100846286,-0.38416205003503,0.327111182901045]"
17635,2024-04-10 23:46:40.751168+00,TheLOCOploXD,espera eliminare uno,1874142127,1712792794,"[-0.22030071709594,-0.383934121905163,0.325553780097447]"
17636,2024-04-10 23:46:59.162046+00,Anas_EIbabIy123,hey guys please defeat me,2909078549,1712792816,"[-0.22188961503936,-0.383472773401336,0.325345105142561]"
17637,2024-04-10 23:47:01.113819+00,moises17220,"Se você matar o gigante, eles lhe darão 125 mil moedas",2672830385,1712792801,"[-0.172282644301334,-0.384052119336853,-0.0862409355752671]"
17638,2024-04-10 23:47:01.113819+00,crimisone123crak,de que,5358139966,1712792803,"[-0.220405080473589,-0.38416205003503,0.326369757041758]"
17639,2024-04-10 23:47:01.113819+00,RedZeel01,nossa serio,3503360444,1712792811,"[-0.177724338160331,-0.383618232053492,-0.0997679044302748]"
17640,2024-04-10 23:47:01.113819+00,crimisone123crak,manda soli,5358139966,1712792812,"[-0.220405080473589,-0.38416205003503,0.326369757041758]"
17641,2024-04-10 23:47:21.454582+00,moises17220,Sim,2672830385,1712792830,"[-0.194737206578571,-0.383700615714889,-0.106987551500672]"
17642,2024-04-10 23:47:41.789194+00,crimisone123crak,ya ablaste con el,5358139966,1712792860,"[-0.0703720933707417,-0.381851059608355,-0.0450475090831476]"
17643,2024-04-10 23:47:48.554525+00,RagingSpeakertitan,That was my killl dude,5559778811,1712792866,"[-0.0560720262471596,-0.384483260498167,-0.0313071792354463]"
17644,2024-04-10 23:47:59.596465+00,Nivanlava312,Avi why did you move,5385729028,1712792874,"[-0.223307485773594,-0.383669121127668,0.321748270602056]"
17645,2024-04-10 23:48:02.090817+00,TheLOCOploXD,si,1874142127,1712792865,"[-0.0683227265047349,-0.382419893045412,-0.043992629314644]"
17646,2024-04-10 23:48:02.090817+00,moises17220,Você sabe como usar o teletransporte em 100%?,2672830385,1712792867,"[-0.192423713014504,-0.383700615714889,-0.112978967317689]"
17647,2024-04-10 23:48:02.090817+00,crimisone123crak,ok chao,5358139966,1712792871,"[-0.0693685584636056,-0.376118787285043,-0.0476393932954405]"
17648,2024-04-10 23:48:02.090817+00,RedZeel01,nao,3503360444,1712792881,"[-0.189050925420413,-0.383266728431528,-0.125033956487357]"
17649,2024-04-10 23:48:08.985827+00,GREAT_BACONROBLOX,you didn't kill it,5659168566,1712792880,"[-0.0670850564401284,-0.383758970808379,-0.039883407656056]"
17650,2024-04-10 23:48:22.453106+00,TheLOCOploXD,chau,1874142127,1712792891,"[-0.0674771159157599,-0.382419893045412,-0.0447468314086785]"
17651,2024-04-10 23:48:22.453106+00,crimisone123crak,chau,5358139966,1712792892,"[-0.067041610011988,-0.38191559347645,-0.0453418039592413]"
17652,2024-04-10 23:48:29.797485+00,RagingSpeakertitan,"Kill stealer ",5559778811,1712792889,"[-0.0375028770328158,-0.3844969911084,-0.0892339148374701]"
17653,2024-04-10 23:48:29.797485+00,GREAT_BACONROBLOX,bruh,5659168566,1712792899,"[-0.0617256651153916,-0.384282793588766,-0.0262151582185082]"
17654,2024-04-10 23:48:29.797485+00,ente5174,im sory im open in quest,5767951072,1712792907,"[-0.0579372630129523,-0.384282793588766,-0.0257263156479323]"
